concept Meaningless Typically_feminine Slightly_feminine Neutral Slightly_masculine Typically_masculine
air_filter 4.0 0.0 0.0 0.0 0.0 0.0
make_bubble 0.0 0.0 2.0 2.0 1.0 0.0
shave_beard 0.0 0.0 0.0 0.0 0.0 2.0
learn_experience 0.0 1.0 1.0 3.0 0.0 0.0
leave_foot 4.0 0.0 0.0 0.0 0.0 1.0
maintain_health 0.0 1.0 2.0 2.0 0.0 0.0
find_cookie 0.0 0.0 0.0 4.0 1.0 0.0
true_art 1.0 0.0 0.0 0.0 0.0 0.0
make_lazy 0.0 0.0 0.0 3.0 2.0 1.0
bring_jacket 0.0 1.0 2.0 2.0 0.0 0.0
unlock_door 0.0 0.0 0.0 3.0 2.0 0.0
say_over 1.0 0.0 1.0 4.0 0.0 0.0
leave_gun 2.0 0.0 0.0 0.0 3.0 0.0
go_ship 1.0 0.0 0.0 1.0 2.0 1.0
give_daughter 1.0 2.0 1.0 1.0 0.0 1.0
find_fan 1.0 0.0 1.0 4.0 0.0 0.0
put_shit 3.0 0.0 1.0 0.0 0.0 1.0
find_out_happen 1.0 0.0 0.0 4.0 0.0 0.0
lose_grip 0.0 1.0 0.0 2.0 2.0 0.0
read_journal 0.0 0.0 2.0 1.0 2.0 0.0
come_time 4.0 0.0 0.0 1.0 1.0 0.0
lay_down_bed 0.0 0.0 0.0 6.0 0.0 0.0
become_parent 0.0 0.0 0.0 6.0 0.0 0.0
put_pressure 0.0 1.0 0.0 3.0 2.0 0.0
feel_bore 2.0 0.0 1.0 2.0 0.0 0.0
find_weed 0.0 0.0 3.0 2.0 0.0 0.0
time_waste 0.0 0.0 0.0 0.0 1.0 0.0
keep_thought 1.0 1.0 0.0 3.0 1.0 0.0
miss_phone_call 0.0 0.0 0.0 6.0 1.0 0.0
buy_many 0.0 3.0 0.0 0.0 0.0 0.0
become_nurse 0.0 5.0 0.0 0.0 0.0 0.0
write_book 0.0 0.0 2.0 5.0 0.0 0.0
take_bus 0.0 0.0 0.0 6.0 0.0 0.0
become_social 0.0 1.0 2.0 1.0 1.0 0.0
decide_win 1.0 0.0 0.0 3.0 2.0 0.0
go_tweet 0.0 1.0 2.0 2.0 0.0 0.0
meet_requirement 0.0 0.0 0.0 4.0 1.0 0.0
buy_bottle_wine 0.0 0.0 1.0 2.0 2.0 0.0
know_run 2.0 0.0 0.0 2.0 1.0 1.0
injure_people 0.0 0.0 0.0 2.0 2.0 1.0
make_computer 0.0 0.0 0.0 1.0 2.0 2.0
